,year,genre,rating,Director,Top_5_cast,Images
Lakshya,(2004),"Action, Drama, Romance",7.8,Farhan Akhtar,"['Hrithik Roshan', 'Preity G Zinta', 'Amitabh Bachchan', 'Om Puri']","https://m.media-amazon.com/images/M/MV5BY2Y0NjY5ZTctZWMzNC00MDQ4LTkyMWUtOGZkMzk4NWNhYWI5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR2,0,140,209_AL_.jpg"
Vaastav: The Reality,(1999),"Action, Crime, Drama",8,Mahesh Manjrekar,"['Sanjay Dutt', 'Namrata Shirodkar', 'Reema Lagoo', 'Shivaji Satam']","https://m.media-amazon.com/images/M/MV5BYmY3MDFjMWQtNWJkMC00NWIyLTkxZWYtNmNhZjUxOGJmNTJlXkEyXkFqcGdeQXVyMTYyNjAzOTUx._V1_UY209_CR8,0,140,209_AL_.jpg"
Kal Ho Naa Ho,(2003),"Comedy, Drama, Musical",7.9,Nikkhil Advani,"['Preity G Zinta', 'Shah Rukh Khan', 'Saif Ali Khan', 'Jaya Bachchan']","https://m.media-amazon.com/images/M/MV5BYmVjNDIxODAtNWZiZi00ZDBlLWJmOTUtNDNjMGExNTViMzE1XkEyXkFqcGdeQXVyNTE0MDc0NTM@._V1_UX140_CR0,0,140,209_AL_.jpg"
Oye Lucky! Lucky Oye!,(2008),"Comedy, Crime, Drama",7.7,Dibakar Banerjee,"['Abhay Deol', 'Paresh Rawal', 'Nitu Chandra', 'Archana Puran Singh']","https://m.media-amazon.com/images/M/MV5BNjA1MjM2NTM3MV5BMl5BanBnXkFtZTcwODIyMjk5MQ@@._V1_UY209_CR3,0,140,209_AL_.jpg"
Sarfarosh,(1999),"Action, Crime, Drama",8.1,John Mathew Matthan,"['Aamir Khan', 'Naseeruddin Shah', 'Sonali Bendre', 'Mukesh Rishi']","https://m.media-amazon.com/images/M/MV5BNDQwMWE0ZDItOTBjOC00MzJhLWIwNWYtYzU4ODJkMjA3MTI2XkEyXkFqcGdeQXVyMTcyNDY1NDgw._V1_UY209_CR3,0,140,209_AL_.jpg"
Gangaajal,(2003),"Action, Crime, Drama",7.8,Prakash Jha,"['Ajay Devgn', 'Gracy Singh', 'Mohan Joshi', 'Yashpal Sharma']","https://m.media-amazon.com/images/M/MV5BYjRjOWViZTgtYjA4Ny00MWJiLTkxYzktMzdlOGRmMWYwOTdjXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR8,0,140,209_AL_.jpg"
Angoor,(1982),Comedy,8.3,Gulzar,"['Sanjeev Kumar', 'Moushumi Chatterjee', 'Deven Verma', 'Aruna Irani']","https://m.media-amazon.com/images/M/MV5BYjBmZWQ5N2ItMjA2YS00OWZlLWExZGQtYjVlMjk3M2M2MDcxXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_UY209_CR6,0,140,209_AL_.jpg"
Madras Cafe,(2013),"Action, Drama, Thriller",7.6,Shoojit Sircar,"['Nargis Fakhri', 'John Abraham', 'Raashi Khanna', 'Gaurav K. Sharma']","https://m.media-amazon.com/images/M/MV5BMTg1MzU5ODM4Nl5BMl5BanBnXkFtZTcwOTQ3MTM5OQ@@._V1_UY209_CR0,0,140,209_AL_.jpg"
English Vinglish,(2012),"Comedy, Drama, Family",7.8,Gauri Shinde,"['Sridevi', 'Adil Hussain', 'Mehdi Nebbou', 'Priya Anand']","https://m.media-amazon.com/images/M/MV5BMjQ5YWVmYmYtOWFiZC00NGMxLWEwODctZDM2MWI4YWViN2E5XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UY209_CR3,0,140,209_AL_.jpg"
Chupke Chupke,(1975),"Comedy, Drama, Romance",8.3,Hrishikesh Mukherjee,"['Dharmendra', 'Sharmila Tagore', 'Amitabh Bachchan', 'Jaya Bachchan']","https://m.media-amazon.com/images/M/MV5BOTlkOTk1ZTMtY2EzZC00NjJmLWEyNDMtNjhlMDQxMGIzMjk3XkEyXkFqcGdeQXVyODMyODMxNDY@._V1_UY209_CR6,0,140,209_AL_.jpg"
